Course,Prereqs,Coreqs
CSC 111,,
CSC 115,CSC 111,
CSC 225,"CSC 115, MATH 122",
CSC 226,CSC 225,
CSC 230,CSC 115,
CSC 320,CSC 226,
CSC 355,"CSC 230, ECE 255, MATH 122",
CSC 360,"SENG 265, CSC 230, ECE 255",CSC 226
CSC 361,"SENG 265, CSC 230, ECE 255",
CSC 370,"SENG 265, CSC 226",
ECE 255,CSC 111,
ECE 260,"MATH 101, MATH 110",
ECE 310,ECE 260,
ECE 355,"MATH 122, CSC 230",
ECE 360,ECE 260,
ECE 458,"ECE 255, CSC 230",
SENG 265,CSC 115,
SENG 275,SENG 265,
SENG 310,SENG 265,
SENG 321,SENG 265,
SENG 350,SENG 275,
SENG 360,"SENG 265, ECE 458, CSC 361",
SENG 426,"SENG 321, SENG 275",
SENG 440,CSC 355,
SENG 499,"SENG 350, CSC 361, CSC 370, SENG 321",