Course,Title,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 111,FUNDMNTL PRGRMNG:ENGR APS,Fall,2019,1,Computer Science,400,346
CSC 115,FUNDAMENTAL PROGRAMING:II,Fall,2019,1,Computer Science,150,130
CSC 115,FUNDAMENTAL PROGRAMING:II,Summer,2019,1,Computer Science,115,86
CSC 225,ALGORITHMS+DATA STUCT:I,Fall,2019,2,Computer Science,215,197
CSC 225,ALGORITHMS+DATA STUCT:I,Summer,2019,2,Computer Science,145,63
CSC 226,ALGORITHMS+DATA STRUCTURE II,Fall,2019,2,Computer Science,140,87
CSC 226,ALGORITHMS+DATA STRUCTURE II,Summer,2019,2,Computer Science,120,91
CSC 230,COMPUTER ARCHITECTURE,Fall,2019,2,Computer Science,200,149
CSC 230,COMPUTER ARCHITECTURE,Summer,2019,2,Computer Science,115,53
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Fall,2019,3,Computer Science,174,166
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Summer,2019,3,Computer Science,136,123
CSC 355,DIGITAL LOGIC+ORGANIZAT'N,Fall,2019,3,Computer Science,140,130
CSC 360,OPERATING SYSTEMS,Fall,2019,3,Computer Science,148,142
CSC 361,COMPUTER COMMUNCTIONS+NETWRKS,Fall,2019,3,Computer Science,150,144
CSC 370,DATABASE SYSTEMS,Fall,2019,3,Computer Science,150,135
CSC 370,DATABASE SYSTEMS,Summer,2019,3,Computer Science,80,78
ECE 255,INTRO TO COMPUTER ARCHITECTURE,Fall,2019,2,Electrical & Computer Engg,120,83
ECE 260,CONTINUOUS-TIME SIGNALS+SYSTMS,Fall,2019,2,Electrical & Computer Engg,144,122
ECE 260,CONTINUOUS-TIME SIGNALS+SYSTMS,Summer,2019,2,Electrical & Computer Engg,130,111
ECE 310,DIGITAL SIGNAL PROCESSING I,Summer,2019,3,Electrical & Computer Engg,95,33
ECE 355,MICROPROCESSOR-BASED SYSTEMS,Fall,2019,3,Electrical & Computer Engg,154,150
ECE 360,CONTROL THEORY+SYSTEMS I,Fall,2019,3,Electrical & Computer Engg,117,101
SENG 265,SOFTWARE DEVELOP METHODS,Fall,2019,2,Engineering & Computer Science,215,199
SENG 265,SOFTWARE DEVELOP METHODS,Summer,2019,2,Engineering & Computer Science,115,84
SENG 275,SOFTWARE TESTING,Fall,2019,2,Engineering & Computer Science,693,748
SENG 275,SOFTWARE TESTING,Summer,2019,2,Engineering & Computer Science,60,69
SENG 310,HUMAN COMPUTER INTERACT'N,Summer,2019,3,Engineering & Computer Science,140,118
SENG 321,REQUIREMENTS ENGINEERING,Fall,2019,3,Engineering & Computer Science,50,54
SENG 350,SOFTWARE ARCHITECTURE & DESIGN,Fall,2019,3,Engineering & Computer Science,93,53
SENG 360,SECURITY ENGINEERING,Fall,2019,3,Engineering & Computer Science,115,112
SENG 426,SOFTWARE QUALITY ENGR,Summer,2019,4,Engineering & Computer Science,66,60
SENG 440,EMBEDDED SYSTEMS,Summer,2019,4,Engineering & Computer Science,95,70
SENG 499,DESIGN PROJECT II,Summer,2019,4,Engineering & Computer Science,45,39
CSC 111,FUNDMNTL PRGRMNG:ENGR APS,Spring,2020,1,Computer Science,115,90
CSC 115,FUNDAMENTAL PROGRAMING:II,Spring,2020,1,Computer Science,380,299
CSC 225,ALGORITHMS+DATA STUCT:I,Spring,2020,2,Computer Science,175,145
CSC 226,ALGORITHMS+DATA STRUCTURE II,Spring,2020,2,Computer Science,200,142
CSC 230,COMPUTER ARCHITECTURE,Spring,2020,2,Computer Science,175,133
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Spring,2020,3,Computer Science,117,109
CSC 360,OPERATING SYSTEMS,Spring,2020,3,Computer Science,173,148
CSC 361,COMPUTER COMMUNCTIONS+NETWRKS,Spring,2020,3,Computer Science,175,109
CSC 370,DATABASE SYSTEMS,Spring,2020,3,Computer Science,150,99
CSC 460,DESIGN: REAL-TIME SYSTEMS,Spring,2020,4,Computer Science,35,30
ECE 310,DIGITAL SIGNAL PROCESSING I,Spring,2020,3,Electrical & Computer Engg,195,163
ECE 360,CONTROL THEORY+SYSTEMS I,Spring,2020,3,Electrical & Computer Engg,80,65
ECE 455,REAL TIME COMP SYS DESGN,Spring,2020,4,Electrical & Computer Engg,70,62
ECE 458,COMMUNICATION NETWORKS,Spring,2020,4,Electrical & Computer Engg,94,90
SENG 265,SOFTWARE DEVELOP METHODS,Spring,2020,2,Engineering & Computer Science,147,114
SENG 310,HUMAN COMPUTER INTERACT'N,Spring,2020,3,Engineering & Computer Science,150,130
SENG 321,REQUIREMENTS ENGINEERING,Spring,2020,3,Engineering & Computer Science,72,66
SENG 371,SOFTWARE EVOLUTION,Spring,2020,3,Engineering & Computer Science,75,71
SENG 401,SOCIAL+PROFESSIONL ISSUES,Spring,2020,4,Engineering & Computer Science,70,70
CSC 111,FUNDMNTL PRGRMNG:ENGR APS,Fall,2022,1,Computer Science,475,292
CSC 115,FUNDAMENTAL PROGRAMING:II,Fall,2022,1,Computer Science,176,159
CSC 115,FUNDAMENTAL PROGRAMING:II,Summer,2022,1,Computer Science,78,91
CSC 225,ALGORITHMS+DATA STUCT:I,Fall,2022,2,Computer Science,216,197
CSC 225,ALGORITHMS+DATA STUCT:I,Summer,2022,2,Computer Science,75,58
CSC 226,ALGORITHMS+DATA STRUCTURE II,Fall,2022,2,Computer Science,153,96
CSC 226,ALGORITHMS+DATA STRUCTURE II,Summer,2022,2,Computer Science,100,74
CSC 230,COMPUTER ARCHITECTURE,Fall,2022,2,Computer Science,160,128
CSC 230,COMPUTER ARCHITECTURE,Summer,2022,2,Computer Science,65,46
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Fall,2022,3,Computer Science,95,47
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Summer,2022,3,Computer Science,141,120
CSC 355,DIGITAL LOGIC+ORGANIZAT'N,Fall,2022,3,Computer Science,137,110
CSC 360,OPERATING SYSTEMS,Fall,2022,3,Computer Science,175,144
CSC 360,OPERATING SYSTEMS,Summer,2022,3,Computer Science,95,69
CSC 361,COMPUTER COMMUNCTIONS+NETWRKS,Fall,2022,3,Computer Science,120,71
CSC 370,DATABASE SYSTEMS,Fall,2022,3,Computer Science,180,157
CSC 370,DATABASE SYSTEMS,Summer,2022,3,Computer Science,113,85
ECE 255,INTRO TO COMPUTER ARCHITECTURE,Fall,2022,2,Electrical & Computer Engg,145,127
ECE 260,CONTINUOUS-TIME SIGNALS+SYSTMS,Fall,2022,2,Electrical & Computer Engg,148,117
ECE 260,CONTINUOUS-TIME SIGNALS+SYSTMS,Summer,2022,2,Electrical & Computer Engg,115,68
ECE 310,DIGITAL SIGNAL PROCESSING I,Summer,2022,3,Electrical & Computer Engg,80,26
ECE 355,MICROPROCESSOR-BASED SYSTEMS,Fall,2022,3,Electrical & Computer Engg,180,145
ECE 360,CONTROL THEORY+SYSTEMS I,Fall,2022,3,Electrical & Computer Engg,140,78
SENG 265,SOFTWARE DEVELOP METHODS,Fall,2022,2,Engineering & Computer Science,215,198
SENG 265,SOFTWARE DEVELOP METHODS,Summer,2022,2,Engineering & Computer Science,82,67
SENG 275,SOFTWARE TESTING,Summer,2022,2,Engineering & Computer Science,55,35
SENG 310,HUMAN COMPUTER INTERACT'N,Fall,2022,3,Engineering & Computer Science,78,76
SENG 310,HUMAN COMPUTER INTERACT'N,Summer,2022,3,Engineering & Computer Science,125,121
SENG 321,REQUIREMENTS ENGINEERING,Fall,2022,3,Engineering & Computer Science,72,67
SENG 350,SOFTWARE ARCHITECTURE & DESIGN,Fall,2022,3,Engineering & Computer Science,85,71
SENG 360,SECURITY ENGINEERING,Fall,2022,3,Engineering & Computer Science,100,81
SENG 426,SOFTWARE QUALITY ENGR,Summer,2022,4,Engineering & Computer Science,91,81
SENG 440,EMBEDDED SYSTEMS,Summer,2022,4,Engineering & Computer Science,110,94
SENG 499,DESIGN PROJECT II,Summer,2022,4,Engineering & Computer Science,84,77
CSC 111,FUNDMNTL PRGRMNG:ENGR APS,Spring,2023,1,Computer Science,138,134
CSC 115,FUNDAMENTAL PROGRAMING:II,Spring,2023,1,Computer Science,364,355
CSC 225,ALGORITHMS+DATA STUCT:I,Spring,2023,2,Computer Science,160,147
CSC 226,ALGORITHMS+DATA STRUCTURE II,Spring,2023,2,Computer Science,180,166
CSC 230,COMPUTER ARCHITECTURE,Spring,2023,2,Computer Science,145,133
CSC 320,FOUNDATIONS:COMPUTER SCIENCE,Spring,2023,3,Computer Science,210,187
CSC 360,OPERATING SYSTEMS,Spring,2023,3,Computer Science,150,95
CSC 361,COMPUTER COMMUNCTIONS+NETWRKS,Spring,2023,3,Computer Science,150,52
CSC 370,DATABASE SYSTEMS,Spring,2023,3,Computer Science,150,116
ECE 310,DIGITAL SIGNAL PROCESSING I,Spring,2023,3,Electrical & Computer Engg,180,138
ECE 360,CONTROL THEORY+SYSTEMS I,Spring,2023,3,Electrical & Computer Engg,80,65
ECE 455,REAL TIME COMP SYS DESGN,Spring,2023,4,Electrical & Computer Engg,96,95
ECE 458,COMMUNICATION NETWORKS,Spring,2023,4,Electrical & Computer Engg,115,105
SENG 265,SOFTWARE DEVELOP METHODS,Spring,2023,2,Engineering & Computer Science,185,162
SENG 275,SOFTWARE TESTING,Spring,2023,2,Engineering & Computer Science,70,63
SENG 310,HUMAN COMPUTER INTERACT'N,Spring,2023,3,Engineering & Computer Science,105,92
SENG 321,REQUIREMENTS ENGINEERING,Spring,2023,3,Engineering & Computer Science,60,58
SENG 371,SOFTWARE EVOLUTION,Spring,2023,3,Engineering & Computer Science,82,81
SENG 401,SOCIAL+PROFESSIONL ISSUES,Spring,2023,4,Engineering & Computer Science,63,62
